Question,Option A,Option B,Option C,Option D,Correct Answer
Which enzyme is targeted by nucleoside reverse transcriptase inhibitors (NRTIs) in HIV therapy,Reverse transcriptase,Integrase,Protease,Neuraminidase,Reverse transcriptase
Which of the following antiretroviral drugs is a non-nucleoside reverse transcriptase inhibitor (NNRTI),Efavirenz,Abacavir,Tenofovir,Atazanavir,Efavirenz
Which of the following is a protease inhibitor used in HIV treatment,Ritonavir,Nevirapine,Enfuvirtide,Maraviroc,Ritonavir
The primary mechanism of action of zidovudine (AZT) is,Inhibition of reverse transcriptase,Inhibition of viral entry,Inhibition of integrase,Inhibition of viral protease,Inhibition of reverse transcriptase
Which of the following drugs is recommended for post-exposure prophylaxis (PEP) of HIV,Tenofovir plus emtricitabine plus raltegravir,Efavirenz monotherapy,Nevirapine plus abacavir,Maraviroc plus lamivudine,Tenofovir plus emtricitabine plus raltegravir
Which HIV drug class prevents the maturation of new virions,Protease inhibitors,Integrase inhibitors,Fusion inhibitors,CCR5 antagonists,Protease inhibitors
The most common side effect of zidovudine is,Anemia,Nephrotoxicity,Peripheral neuropathy,Pancreatitis,Anemia
Which of the following is a fusion inhibitor used in HIV therapy,Enfuvirtide,Efavirenz,Abacavir,Saquinavir,Enfuvirtide
Which of the following is NOT a recommended combination for initial antiretroviral therapy,Stavudine plus zidovudine,Tenofovir plus lamivudine plus efavirenz,Abacavir plus lamivudine plus dolutegravir,Tenofovir plus emtricitabine plus raltegravir,Stavudine plus zidovudine
Which of the following is an integrase inhibitor,Raltegravir,Efavirenz,Indinavir,Nevirapine,Raltegravir
Which of the following best describes the goal of antiretroviral therapy in HIV infection,Maximal and durable suppression of viral replication,Eradication of HIV from the body,Intermittent suppression of viral load,Prevention of all opportunistic infections,Maximal and durable suppression of viral replication
Which of the following is a common adverse effect of protease inhibitors,Lipodystrophy,Neutropenia,Nephrolithiasis,Peripheral neuropathy,Lipodystrophy
Which drug is commonly associated with hypersensitivity reactions in HIV therapy,Abacavir,Efavirenz,Tenofovir,Nevirapine,Abacavir
Which antiretroviral drug is contraindicated with rifampin due to significant drug interactions,Protease inhibitors,Tenofovir,Abacavir,Lamivudine,Protease inhibitors
Which of the following is a CCR5 antagonist used in HIV therapy,Maraviroc,Efavirenz,Enfuvirtide,Saquinavir,Maraviroc
Which of the following is the main laboratory marker for monitoring HIV progression,CD4 cell count,Serum creatinine,ALT,White blood cell count,CD4 cell count
Which antiretroviral drug is most associated with vivid dreams and neuropsychiatric effects,Efavirenz,Abacavir,Tenofovir,Nevirapine,Efavirenz
Which of the following is a major risk factor for rapid progression of HIV to AIDS,Low baseline CD4 count,High hemoglobin,Young age,Short duration of infection,Low baseline CD4 count
Which of the following is the recommended frequency of cervical cancer screening in women with HIV,Annually,Every 3 years,Every 5 years,Every 10 years,Annually
Which of the following is the most common opportunistic infection in untreated HIV patients,Pneumocystis jirovecii pneumonia,Tuberculosis,Cryptococcal meningitis,Toxoplasmosis,Pneumocystis jirovecii pneumonia
Which of the following is the most common mode of HIV transmission worldwide,Heterosexual contact,Homosexual contact,Blood transfusion,Needlestick injury,Heterosexual contact
Which antiretroviral drug is associated with nephrotoxicity and bone mineral loss,Tenofovir,Efavirenz,Abacavir,Lamivudine,Tenofovir
Which of the following is the recommended test for early detection of HIV infection,Fourth-generation antigen/antibody assay,CD4 count,Western blot,ELISA for p24 antigen only,Fourth-generation antigen/antibody assay
Which of the following is a major advantage of integrase inhibitors in HIV therapy,High barrier to resistance,High risk of drug interactions,Frequent dosing,Severe hepatotoxicity,High barrier to resistance
Which of the following is the main reason for using combination antiretroviral therapy,Reduce risk of resistance,Increase pill burden,Increase cost,Increase toxicity,Reduce risk of resistance
Which of the following is NOT a typical feature of acute retroviral syndrome,Fever,Maculopapular rash,Severe neutropenia,Pharyngitis,Severe neutropenia
Which of the following is an indication for starting antiretroviral therapy in an asymptomatic HIV-positive patient,CD4 count <350 cells/microliter,CD4 count >700 cells/microliter,Undetectable viral load,Normal chest X-ray,CD4 count <350 cells/microliter
Which of the following is the most common malignancy in HIV-positive patients,Kaposi sarcoma,Non-Hodgkin lymphoma,Hodgkin lymphoma,Cervical cancer,Kaposi sarcoma
Which of the following is a life-threatening adverse effect of nevirapine,Stevens-Johnson syndrome,Nephrotoxicity,Myopathy,Pancreatitis,Stevens-Johnson syndrome
Which of the following is the recommended management for a pregnant HIV-positive woman to reduce vertical transmission,Start ART and avoid breastfeeding,Delay ART until after delivery,Use single drug therapy only,No prophylaxis needed,Start ART and avoid breastfeeding
Which of the following is the most common cause of treatment failure in HIV therapy,Poor adherence,Drug toxicity,Drug interactions,Wrong diagnosis,Poor adherence
Which of the following is the preferred regimen for post-exposure prophylaxis (PEP) in healthcare workers,Tenofovir plus emtricitabine plus raltegravir,Zidovudine plus stavudine,Efavirenz monotherapy,Abacavir plus nevirapine,Tenofovir plus emtricitabine plus raltegravir
Which of the following is NOT a common manifestation of immune reconstitution inflammatory syndrome (IRIS),Unmasking of latent infections,Paradoxical worsening of treated infections,Severe neutropenia,Exacerbation of autoimmune disease,Severe neutropenia
Which of the following is the best predictor of response to antiretroviral therapy,HIV viral load reduction,Increase in hemoglobin,Decrease in ALT,Increase in serum creatinine,HIV viral load reduction
Which of the following is a major adverse effect of stavudine,Peripheral neuropathy,Nephrotoxicity,Insomnia,Stevens-Johnson syndrome,Peripheral neuropathy
Which of the following is a recommended initial antiretroviral regimen in adults,Tenofovir plus lamivudine plus dolutegravir,Stavudine plus zidovudine,Nevirapine monotherapy,Didanosine plus abacavir,Tenofovir plus lamivudine plus dolutegravir
Which of the following is a key feature of HIV-associated dementia,Subcortical cognitive impairment,Early aphasia,Cerebellar ataxia,Spastic paraparesis,Subcortical cognitive impairment
Which of the following is the most common neurological complication of HIV,Peripheral neuropathy,Multiple sclerosis,Guillain-Barre syndrome,Myasthenia gravis,Peripheral neuropathy
Which of the following is a common side effect of indinavir,Nephrolithiasis,Anemia,Peripheral neuropathy,Pancreatitis,Nephrolithiasis
Which of the following is NOT a typical feature of advanced HIV infection,Recurrent bacterial infections,Chronic diarrhea,High CD4 count,Weight loss,High CD4 count
Which of the following is a major adverse effect of didanosine,Pancreatitis,Nephrotoxicity,Insomnia,Stevens-Johnson syndrome,Pancreatitis
Which of the following is the most common presenting symptom of acute HIV infection,Fever,Chronic diarrhea,Weight loss,Oral thrush,Fever
Which of the following is NOT a typical feature of HIV wasting syndrome,Unintentional weight loss >10 percent,Chronic diarrhea,Prolonged fever,Hyperglycemia,Hyperglycemia
Which of the following is a recommended prophylaxis for Pneumocystis jirovecii pneumonia in HIV-positive patients,Trimethoprim-sulfamethoxazole,Azithromycin,Isoniazid,Amphotericin B,Trimethoprim-sulfamethoxazole
Which of the following is the most common cause of chronic diarrhea in HIV-positive patients in developing countries,Cryptosporidium parvum,Salmonella typhi,Shigella dysenteriae,Entamoeba histolytica,Cryptosporidium parvum
Which of the following is a common cause of meningitis in advanced HIV infection,Cryptococcus neoformans,Streptococcus pneumoniae,Neisseria meningitidis,Haemophilus influenzae,Cryptococcus neoformans
Which of the following is the main mechanism of resistance to NRTIs in HIV,Mutations in reverse transcriptase,Increased drug efflux,Altered drug absorption,Enhanced protease activity,Mutations in reverse transcriptase
Which of the following is a common adverse effect of nevirapine,Hepatotoxicity,Nephrotoxicity,Pancreatitis,Neutropenia,Hepatotoxicity
Which of the following is the most common cause of death in HIV-positive patients,Opportunistic infections,Renal failure,Cardiovascular disease,Drug toxicity,Opportunistic infections
Which of the following is the most common cause of oral ulcers in HIV-positive patients,Herpes simplex virus,Candida albicans,Cytomegalovirus,Epstein-Barr virus,Herpes simplex virus
Which of the following is a major adverse effect of efavirenz,Neuropsychiatric symptoms,Hepatotoxicity,Nephrotoxicity,Peripheral neuropathy,Neuropsychiatric symptoms
Which of the following is NOT a typical feature of Kaposi sarcoma,Purple vascular lesions,Association with HHV-8,Common in HIV-positive patients,High CD4 count,High CD4 count
Which of the following is the recommended management for HIV-exposed infants,Start antiretroviral prophylaxis,Delay prophylaxis until symptoms,No prophylaxis needed,Start antibiotics only,Start antiretroviral prophylaxis
Which of the following is the most common cause of retinitis in HIV-positive patients,Cytomegalovirus,Toxoplasma gondii,Herpes simplex virus,Varicella zoster virus,Cytomegalovirus
Which of the following is a major adverse effect of abacavir,Hypersensitivity reaction,Nephrotoxicity,Pancreatitis,Peripheral neuropathy,Hypersensitivity reaction
Which of the following is NOT a recommended strategy for prevention of HIV transmission,Consistent condom use,Needle exchange programs,Universal screening of blood products,Monotherapy with NRTI,Monotherapy with NRTI
Which of the following is a major adverse effect of lopinavir-ritonavir,Hyperlipidemia,Neutropenia,Pancreatitis,Peripheral neuropathy,Hyperlipidemia
Which of the following is the most common cause of esophagitis in HIV-positive patients,Candida albicans,Herpes simplex virus,Cytomegalovirus,Varicella zoster virus,Candida albicans
Which of the following is the most common cause of lymphoma in HIV-positive patients,Non-Hodgkin lymphoma,Hodgkin lymphoma,Kaposi sarcoma,Multiple myeloma,Non-Hodgkin lymphoma
Which of the following is the main reason for lifelong ART in HIV infection,Persistence of latent virus,High toxicity of drugs,Frequent resistance,Rapid viral clearance,Persistence of latent virus
Which of the following is NOT an indication for changing ART regimen,Virologic failure,Severe toxicity,Drug interactions,Stable undetectable viral load,Stable undetectable viral load
Which of the following is a common cause of pneumonia in HIV-positive patients,Streptococcus pneumoniae,Mycoplasma pneumoniae,Legionella pneumophila,Staphylococcus aureus,Streptococcus pneumoniae
Which of the following is the most common cause of genital ulcer disease in HIV-positive patients,Herpes simplex virus,Chlamydia trachomatis,Neisseria gonorrhoeae,Haemophilus ducreyi,Herpes simplex virus
Which of the following is the most common cause of chronic cough in HIV-positive patients,Tuberculosis,Asthma,Chronic bronchitis,Allergic rhinitis,Tuberculosis
Which of the following is NOT a typical feature of immune reconstitution inflammatory syndrome (IRIS),Unmasking of latent infections,Paradoxical worsening of treated infections,Severe neutropenia,Exacerbation of autoimmune disease,Severe neutropenia
Which of the following is the most common cause of acute renal failure in HIV-positive patients,Tenofovir toxicity,Indinavir stones,Amphotericin B,Trimethoprim-sulfamethoxazole,Tenofovir toxicity
Which of the following is the main mechanism of action of maraviroc,CCR5 antagonism,Inhibition of reverse transcriptase,Inhibition of integrase,Inhibition of protease,CCR5 antagonism
Which of the following is the most common cause of anemia in HIV-positive patients,Zidovudine toxicity,Chronic kidney disease,Iron deficiency,Vitamin B12 deficiency,Zidovudine toxicity
Which of the following is the most common cause of thrombocytopenia in HIV-positive patients,HIV-associated immune destruction,Drug toxicity,Sepsis,Malaria,HIV-associated immune destruction
Which of the following is the most common cause of fever of unknown origin in advanced HIV infection,Mycobacterium avium complex,Salmonella typhi,Streptococcus pneumoniae,Escherichia coli,Mycobacterium avium complex
Which of the following is the most common cause of chronic headache in HIV-positive patients,Cryptococcal meningitis,Sinusitis,Hypertension,Cluster headache,Cryptococcal meningitis
Which of the following is NOT a common adverse effect of tenofovir,Nephrotoxicity,Bone mineral loss,Peripheral neuropathy,Hyperlipidemia,Hyperlipidemia
Which of the following is the most common cause of chronic abdominal pain in HIV-positive patients,Mycobacterium avium complex,Salmonella typhi,Entamoeba histolytica,Strongyloides stercoralis,Mycobacterium avium complex
Which of the following is the most common cause of persistent lymphadenopathy in HIV-positive patients,HIV infection,Epstein-Barr virus,CMV infection,Streptococcus pyogenes,HIV infection
Which of the following is a key feature of HIV-associated nephropathy,Focal segmental glomerulosclerosis,Membranous nephropathy,Minimal change disease,IgA nephropathy,Focal segmental glomerulosclerosis
Which of the following is NOT a common cutaneous manifestation of HIV,Herpes zoster,Psoriasis,Acne vulgaris,Seborrheic dermatitis,Acne vulgaris
Which of the following is the most common cause of visual loss in advanced HIV infection,Cytomegalovirus retinitis,Herpes simplex keratitis,Optic neuritis,Retinal detachment,Cytomegalovirus retinitis
Which of the following is a major adverse effect of efavirenz,Neuropsychiatric symptoms,Nephrotoxicity,Pancreatitis,Stevens-Johnson syndrome,Neuropsychiatric symptoms
Which of the following is the most common cause of chronic skin ulcers in HIV-positive patients,Herpes simplex virus,Kaposi sarcoma,Staphylococcus aureus,Pseudomonas aeruginosa,Herpes simplex virus
Which of the following is the most common cause of severe anemia in HIV-positive children,Parvovirus B19,Iron deficiency,Vitamin B12 deficiency,Malaria,Parvovirus B19